Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Giant Killer",1,"Creature - Human Peasant",W,"eld","14",rare,w,Owned,Non-foil,false,,,"","",78118,
"Giver of Runes",1,"Creature - Kor Cleric",W,"mh1","13",rare,w,Not Owned,Non-foil,false,,,"New","",72398,
"Isamaru, Hound of Konda",1,"Legendary Creature - Hound",W,"chk","19",rare,w,Not Owned,Non-foil,false,,,"New","",21409,
"Kytheon, Hero of Akros",1,"Legendary Creature - Human Soldier ",W,"ori","23",mythic,w,Not Owned,Non-foil,false,,,"New","",57876,
"Mother of Runes",1,"Creature - Human Cleric",W,"ulg","14",uncommon,w,Not Owned,Non-foil,false,,,"New","",12553,
"Skymarcher Aspirant",1,"Creature - Vampire Soldier",W,"rix","21",uncommon,w,Not Owned,Non-foil,false,,,"New","",66495,
"Student of Warfare",1,"Creature - Human Knight",W,"roe","47",rare,w,Not Owned,Non-foil,false,,,"New","",36586,
"Thraben Inspector",1,"Creature - Human Soldier",W,"soi","44",common,w,Owned,Non-foil,false,,,"","",60240,
"Usher of the Fallen",1,"Creature - Spirit Warrior",W,"khm","35",uncommon,w,Owned,Non-foil,false,,,"","",87393,
"Adanto Vanguard",2,"Creature - Vampire Soldier",W,"xln","1",uncommon,w,Owned,Non-foil,false,,,"","",65012,
"Containment Priest",2,"Creature - Human Cleric",W,"c14","5",rare,w,Not Owned,Non-foil,false,,,"New","",55177,
"Leonin Relic-Warder",2,"Creature - Cat Cleric",W,"mbs","10",uncommon,w,Not Owned,Non-foil,false,,,"New","",39591,
"Luminarch Aspirant",2,"Creature - Human Cleric",W,"znr","24",rare,w,Owned,Non-foil,false,,,"","",82987,
"Remorseful Cleric",2,"Creature - Spirit Cleric",W,"m19","33",rare,w,Not Owned,Non-foil,false,,,"New","",68227,
"Selfless Spirit",2,"Creature - Spirit Cleric",W,"emn","40",rare,w,Not Owned,Non-foil,false,,,"New","",61102,
"Spirit of the Labyrinth",2,"Enchantment Creature - Spirit",W,"bng","27",rare,w,Owned,Non-foil,false,,,"","",51769,
"Stoneforge Mystic",2,"Creature - Kor Artificer",W,"wwk","20",rare,w,Not Owned,Non-foil,false,,,"New","",35737,
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"dka","24",rare,w,Not Owned,Non-foil,false,,,"New","",43469,
"Vizier of Remedies",2,"Creature - Human Cleric",W,"akh","38",uncommon,w,Owned,Non-foil,false,,,"","",63678,
"Wall of Omens",2,"Creature - Wall",W,"roe","53",uncommon,w,Not Owned,Non-foil,false,,,"New","",36526,
"Blade Splicer",3,"Creature - Human Artificer",W,"nph","4",rare,w,Owned,Non-foil,false,,,"","",39996,
"Brimaz, King of Oreskos",3,"Legendary Creature - Cat Soldier",W,"bng","5",mythic,w,Not Owned,Non-foil,false,,,"New","",51739,
"Flickerwisp",3,"Creature - Elemental",W,"eve","6",uncommon,w,Not Owned,Non-foil,false,,,"New","",29970,
"Monastery Mentor",3,"Creature - Human Monk",W,"frf","20",mythic,w,Not Owned,Non-foil,false,,,"New","",55410,
"Ranger-Captain of Eos",3,"Creature - Human Soldier",W,"mh1","21",mythic,w,Owned,Non-foil,false,,,"","",72414,
"Recruiter of the Guard",3,"Creature - Human Soldier",W,"cn2","22",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Skyclave Apparition",3,"Creature - Kor Spirit",W,"znr","39",rare,w,Owned,Non-foil,false,,,"","",83023,
"Thalia, Heretic Cathar",3,"Legendary Creature - Human Soldier",W,"emn","46",rare,w,Not Owned,Non-foil,false,,,"New","",61308,
"Vryn Wingmare",3,"Creature - Pegasus",W,"ori","40",rare,w,Owned,Non-foil,false,,,"","",57848,
"Hero of Bladehold",4,"Creature - Human Knight",W,"mbs","8",mythic,w,Not Owned,Non-foil,false,,,"New","",39539,
